,0
0,2712
1,21582
2,36788
3,41372
4,66093
5,68857
6,73121
7,77778
8,80989
9,104720
10,105307
11,106620
12,109971
13,110293
14,125408
15,151817
16,160465
17,222475
18,225701
19,230960
20,234123
21,242737
22,252564
23,255960
24,258969
25,281800
26,303136
27,374713
28,431784
29,445939
30,507211
31,509050
32,543745
33,547656
34,558683
35,559828
36,579589
37,601045
38,639601
39,653640
40,666196
41,766673
42,769745
43,775931
44,782154
45,793318
46,814667
47,828240
48,868694
49,880890
50,924061
51,960056
52,977893
53,1000093
54,1045928
55,1103831
56,1132647
57,1141697
58,1208228
59,1209137
60,1299430
61,1365352
62,1399229
63,1484860
64,1579185
65,1600112
66,1626746
67,1718597
68,1728158
69,1786530
70,1858867
71,1959759
72,2013753
73,2042341
74,2051256
75,2160085
76,2161186
77,2194111
78,2278248
79,2300776
80,2352781
81,2500715
82,2526708
83,2576892
84,2587238
85,2589593
86,2735670
87,2882067
88,2910115
89,2933735
90,2986145
91,3074098
92,3102316
93,3110516
94,3128244
95,3150022
96,3152639
97,3199155
98,3211834
99,3219256
100,3228491
101,3255503
102,3279859
103,3303760
104,3312476
105,3445412
106,3482658
107,3515330
108,3656037
109,3702515
110,3754373
111,3782311
112,3823620
113,3847924
114,3881227
115,3889783
116,3900731
117,3906348
118,3913195
119,3921006
120,3925458
121,3945810
122,3946133
123,3985081
124,4082890
125,4120902
126,4161119
127,4164225
128,4196639
129,4204449
130,4284048
131,4284855
132,4292778
133,4393904
134,4420027
135,4449909
136,4564636
137,4586189
138,4645016
139,4664826
140,4831464
141,4866925
142,4956766
143,5007178
144,5032704
145,5094595
146,5132195
147,5133623
148,5183091
149,5194370
150,5279459
151,5356104
152,5371786
153,5432558
154,5445522
155,5446429
156,5516817
157,5536986
158,5570636
159,5600655
160,5633202
161,5677853
162,5704476
163,5764903
164,5768079
165,5781059
166,5903519
167,5934102
168,5937438
169,5966700
170,5975906
171,5977948
172,6099111
173,6131964
174,6204762
175,6259477
176,6282277
177,6297084
178,6317857
179,6363657
180,6371605
181,6406063
182,6507909
183,6515278
184,6537878
185,6652340
186,6654077
187,6665382
188,6672905
189,6698054
190,6760761
191,6831059
192,6843033
193,6881735
194,6913553
195,7008417
196,7016675
197,7133548
198,7159694
199,7269905
200,7326458
201,7583498
202,7616600
203,7639159
204,7734037
205,7807998
206,7877613
207,7983397
208,7992332
209,8025376
210,8064501
211,8089997
212,8116032
213,8221662
214,8270633
215,8456330
216,8663017
217,8809385
218,8810014
219,8866129
220,8938489
221,8947249
222,8979007
223,9139843
224,9233714
225,9367275
226,9398804
227,9468066
228,9504389
229,9510396
230,9546591
231,9552364
232,9618297
233,9690677
234,9750996
235,9757734
236,9922182
237,10007180
238,10102078
239,10242022
240,10284402
241,10293920
242,10307780
243,10324568
244,10441216
245,10458906
246,10466631
247,10498486
248,10503016
249,10512673
250,10656587
251,10788415
252,10941163
253,11062483
254,11154773
255,11171331
256,11180929
257,11193590
258,11209490
259,11217269
260,11268668
261,11330378
262,11459828
263,11473306
264,11561939
265,11605060
266,11818325
267,11872667
268,11916695
269,11932573
270,11979857
271,11989306
272,12036517
273,12075023
274,12086854
275,12208416
276,12209443
277,12320807
278,12486582
279,12573949
280,12603128
281,12659691
282,12678916
283,12713256
284,12713374
285,12751837
286,12800230
287,12840569
288,12850144
289,12942964
290,12953247
291,13024135
292,13153196
293,13276936
294,13334112
295,13411564
296,13520706
297,13584834
298,13604254
299,13754548
300,13796077
301,13832242
302,13955272
303,13962282
304,14021681
305,14041860
306,14132391
307,14159006
308,14159118
309,14176147
310,14306401
311,14462442
312,14470168
313,14471285
314,14747368
315,14764684
316,14826463
317,14932749
318,15132796
319,15205364
320,15234324
321,15373310
322,15412544
323,15426296
324,15447356
325,15546000
326,15567313
327,15606565
328,15760246
329,15765615
330,15873599
331,15973054
332,16026535
333,16052048
334,16212252
335,16324227
336,16411731
337,16444601
338,16501286
339,16546948
340,16555671
341,16572083
342,16593793
343,16698701
344,16888367
345,17092956
346,17167182
347,17243929
348,17393433
349,17449231
350,17572841
351,17574517
352,17586174
353,17712875
354,17744529
355,17755743
356,17774391
357,17881017
358,17889541
359,17952106
360,17954037
361,18080547
362,18225487
363,18295646
364,18311351
365,18475149
366,18492754
367,18538564
368,18576400
369,18612979
370,18631851
371,18781540
372,18799045
373,19015726
374,19077703
375,19139251
376,19215316
377,19246303
378,19264988
379,19309937
380,19372993
381,19478555
382,19595547
383,19609765
384,19662220
385,19668439
386,19682570
387,19766643
388,19855681
389,20043900
390,20123473
391,20274461
392,20432499
393,20579733
394,20590163
395,20639368
396,20681595
397,20735845
398,20894088
399,20931975
400,20934153
401,20946754
402,21168349
403,21324651
404,21341914
405,21349477
406,21355266
407,21384799
408,21398567
409,21579287
410,21656711
411,21683526
412,21687425
413,21688062
414,21701369
415,21891586
416,22044851
417,22076801
418,22168090
419,22173749
420,22374048
421,22568968
422,22642201
423,22646219
424,22720296
425,22816742
426,22862040
427,22915885
428,23029350
429,23046828
430,23062021
431,23179301
432,23232669
433,23305429
434,23405877
435,23487055
436,23489539
437,23605975
438,23670439
439,23711908
440,23725868
441,23744010
